iter	Passed	Remaining
410	4311	16667
411	4321	16655
412	4331	16644
413	4342	16635
414	4353	16626
415	4363	16616
416	4374	16607
417	4385	16596
418	4395	16585
419	4406	16575
420	4416	16564
421	4426	16553
422	4437	16542
423	4447	16529
424	4456	16516
425	4466	16504
426	4476	16491
427	4486	16478
428	4495	16462
429	4505	16448
430	4515	16439
431	4525	16427
432	4536	16416
433	4546	16403
434	4555	16390
435	4565	16376
436	4574	16362
437	4584	16349
438	4594	16337
439	4604	16324
440	4614	16312
441	4624	16300
442	4634	16287
443	4645	16278
444	4655	16266
445	4665	16254
446	4674	16239
447	4684	16229
448	4694	16216
449	4704	16204
450	4714	16191
451	4724	16179
452	4734	16170
453	4745	16159
454	4756	16149
455	4766	16139
456	4777	16129
457	4787	16117
458	4797	16105
459	4806	16092
460	4816	16081
461	4827	16070
462	4838	16061
463	4848	16051
464	4859	16040
465	4868	16027
466	4878	16014
467	4887	16000
468	4897	15987
469	4906	15972
470	4916	15961
471	4926	15948
472	4936	15936
473	4946	15925
474	4957	15917
475	4968	15907
476	4978	15895
477	4988	15883
478	4998	15872
479	5008	15859
480	5017	15845
481	5027	15833
482	5037	15822
483	5048	15813
484	5058	15802
485	5069	15793
486	5080	15783
487	5090	15773
488	5100	15761
489	5111	15750
490	5122	15741
491	5133	15733
492	5144	15725
493	5155	15717
494	5167	15712
495	5179	15705
496	5190	15695
497	5202	15692
498	5213	15681
499	5223	15669
500	5233	15657
501	5243	15646
502	5254	15636
503	5264	15627
504	5276	15620
505	5286	15608
506	5296	15596
507	5306	15585
508	5316	15572
509	5326	15560
510	5335	15548
511	5346	15537
512	5356	15526
513	5366	15515
514	5376	15504
515	5386	15492
516	5396	15481
517	5407	15471
518	5417	15459
519	5427	15447
520	5437	15436
521	5447	15425
522	5456	15410
523	5467	15401
524	5477	15389
525	5487	15377
526	5497	15366
527	5507	15354
528	5516	15340
529	5526	15328
530	5536	15316
531	5546	15306
532	5557	15295
533	5567	15285
534	5577	15273
535	5587	15261
536	5596	15248
537	5607	15237
538	5617	15226
539	5626	15213
540	5637	15202
541	5647	15191
542	5657	15180
543	5667	15169
544	5677	15157
545	5688	15147
546	5698	15137
547	5708	15126
548	5719	15115
549	5729	15104
550	5739	15094
551	5749	15082
552	5759	15069
553	5769	15060
554	5779	15048
555	5790	15037
556	5800	15026
557	5809	15013
558	5819	15002
559	5829	14989
560	5838	14976
561	5848	14964
562	5858	14953
563	5868	14941
564	5879	14931
565	5888	14919
566	5899	14909
567	5909	14898
568	5918	14885
569	5928	14873
570	5939	14865
571	5950	14855
572	5960	14843
573	5970	14833
574	5981	14823
575	5992	14814
576	6002	14802
577	6011	14790
578	6021	14778
579	6031	14766
580	6041	14756
581	6052	14746
582	6063	14736
583	6073	14725
584	6083	14715
585	6094	14705
586	6103	14692
587	6114	14682
588	6123	14670
589	6133	14659
590	6144	14647
591	6153	14636
592	6164	14625
593	6173	14612
594	6183	14602
595	6206	14620
596	6214	14604
597	6224	14593
598	6234	14581
599	6243	14568
600	6253	14557
601	6264	14547
602	6274	14536
603	6284	14525
604	6295	14514
605	6305	14505
606	6316	14496
607	6327	14487
608	6338	14477
609	6349	14469
610	6360	14459
611	6371	14450
612	6381	14439
613	6392	14429
614	6403	14420
615	6414	14411
616	6425	14401
617	6435	14391
618	6445	14380
619	6455	14369
620	6466	14359
621	6476	14347
622	6486	14336
623	6496	14326
624	6507	14315
625	6517	14305
626	6528	14295
627	6537	14283
628	6547	14272
629	6557	14260
630	6567	14249
631	6577	14237
632	6587	14226
633	6597	14213
634	6607	14203
635	6617	14191
636	6627	14180
637	6637	14169
638	6648	14160
639	6658	14150
640	6669	14140
641	6679	14128
642	6689	14117
643	6698	14105
644	6709	14094
645	6719	14083
646	6730	14074
647	6740	14063
648	6750	14052
649	6761	14042
650	6771	14032
651	6781	14021
652	6791	14010
653	6801	13998
654	6811	13986
655	6821	13976
656	6831	13964
657	6841	13953
658	6852	13943
659	6862	13932
660	6871	13920
661	6881	13909
662	6891	13898
663	6901	13886
664	6911	13875
665	6922	13865
666	6932	13853
667	6942	13842
668	6951	13830
669	6962	13820
670	6972	13809
671	6982	13798
672	6992	13787
673	7003	13777
674	7012	13765
675	7023	13755
676	7033	13744
677	7043	13734
678	7053	13722
679	7063	13710
680	7073	13700
681	7083	13689
682	7094	13679
683	7103	13667
684	7113	13656
685	7123	13645
686	7135	13636
687	7146	13627
688	7157	13618
689	7167	13608
690	7177	13596
691	7188	13587
692	7197	13573
693	7219	13585
694	7227	13571
695	7237	13559
696	7246	13547
697	7256	13535
698	7266	13524
699	7276	13514
700	7287	13503
701	7297	13492
702	7307	13481
703	7318	13472
704	7328	13461
705	7339	13452
706	7350	13442
707	7360	13431
708	7370	13421
709	7380	13410
710	7391	13399
711	7401	13388
712	7411	13378
713	7422	13368
714	7433	13359
715	7442	13346
716	7452	13335
717	7462	13324
718	7476	13320
719	7485	13308
720	7496	13298
721	7508	13291
722	7520	13283
723	7531	13273
724	7541	13263
725	7552	13253
726	7563	13244
727	7573	13233
728	7584	13222
729	7594	13212
730	7604	13201
731	7615	13191
732	7625	13181
733	7635	13169
734	7647	13162
735	7657	13151
736	7667	13140
737	7677	13128
738	7687	13117
739	7697	13106
740	7707	13095
741	7718	13085
742	7727	13073
743	7737	13062
744	7748	13052
745	7758	13041
746	7767	13029
747	7777	13018
748	7787	13006
